ano,mes,dia,hora,Dia_semana,QTD_Tags,R$_Tags
2016,10,3,8,0,100,92.8700
2016,10,3,9,0,180,190.7400
2016,10,3,10,0,255,352.8300
2016,10,3,11,0,209,297.0800
2016,10,3,12,0,167,318.1900
2016,10,3,13,0,250,386.4400
2016,10,3,14,0,224,348.9800
2016,10,3,15,0,231,354.9100
2016,10,3,16,0,231,342.9100
2016,10,3,17,0,223,309.5300
2016,10,3,18,0,78,197.0000
2016,10,4,7,1,9,17.4400
2016,10,4,8,1,109,117.7100
2016,10,4,9,1,215,206.5400
2016,10,4,10,1,270,412.1800
2016,10,4,11,1,218,333.6000
2016,10,4,12,1,193,323.8600
2016,10,4,13,1,291,411.5100
2016,10,4,14,1,242,361.9200
2016,10,4,15,1,179,309.2100
2016,10,4,16,1,183,314.3600
2016,10,4,17,1,205,279.9400
2016,10,4,18,1,79,190.0000
2016,10,5,6,2,1,5.1900
2016,10,5,7,2,6,10.8400
2016,10,5,8,2,76,86.8700
2016,10,5,9,2,158,171.0100
2016,10,5,10,2,245,357.9000
2016,10,5,11,2,251,366.4600
2016,10,5,12,2,208,316.6800
2016,10,5,13,2,282,426.6600
2016,10,5,14,2,282,391.3900
2016,10,5,15,2,280,358.7300
2016,10,5,16,2,260,374.6000
2016,10,5,17,2,236,301.4600
2016,10,5,18,2,78,215.0000
2016,10,6,6,3,1,0.5100
2016,10,6,7,3,8,11.7600
2016,10,6,8,3,123,143.8200
2016,10,6,9,3,182,178.9600
2016,10,6,10,3,273,404.4700
2016,10,6,11,3,219,327.2700
2016,10,6,12,3,204,330.6100
2016,10,6,13,3,255,417.9500
2016,10,6,14,3,254,392.9200
2016,10,6,15,3,231,358.8800
2016,10,6,16,3,265,367.0200
2016,10,6,17,3,234,296.7400
2016,10,6,18,3,81,215.0000
2016,10,7,6,4,3,11.5700
2016,10,7,7,4,12,12.5900
2016,10,7,8,4,134,165.0900
2016,10,7,9,4,189,212.7400
2016,10,7,10,4,278,410.0500
2016,10,7,11,4,234,339.3500
2016,10,7,12,4,234,383.4600
2016,10,7,13,4,261,454.3100
2016,10,7,14,4,257,417.3800
2016,10,7,15,4,270,399.3400
2016,10,7,16,4,285,395.6200
2016,10,7,17,4,242,332.1800
2016,10,7,18,4,77,200.0000
2016,10,8,6,5,4,5.8500
2016,10,8,7,5,3,3.5100
2016,10,8,8,5,101,128.3700
2016,10,8,9,5,216,230.4100
2016,10,8,10,5,254,383.5400
2016,10,8,11,5,221,313.6800
2016,10,8,12,5,78,196.0000
2016,10,10,6,0,1,5.5300
2016,10,10,7,0,6,8.7200
2016,10,10,8,0,90,92.2300
2016,10,10,9,0,221,251.7700
2016,10,10,10,0,239,431.9200
2016,10,10,11,0,211,337.4600
2016,10,10,12,0,219,368.1500
2016,10,10,13,0,231,412.0300
2016,10,10,14,0,216,394.4900
2016,10,10,15,0,245,405.1100
2016,10,10,16,0,234,335.5300
2016,10,10,17,0,211,299.1300
2016,10,10,18,0,78,195.0000
2016,10,13,6,3,3,15.4400
2016,10,13,7,3,5,6.0400
2016,10,13,8,3,87,80.3400
2016,10,13,9,3,202,187.0500
2016,10,13,10,3,257,388.0700
2016,10,13,11,3,263,374.7100
2016,10,13,12,3,238,382.5000
2016,10,13,13,3,250,399.6700
